"","id","ib_score","ib_maister_score"
"1",101,0.151903818171044,0.151903818171044
"2",108,0.48715716151502,0.48715716151502
"3",109,0.187464350843931,0.187464350843931
"4",114,-0.0279858519973558,0.0279858519973558
"5",116,-0.587012755329587,0.587012755329587
"6",118,-0.296924659532327,0.296924659532327
"7",124,-0.255329311656377,0.255329311656377
"8",131,-0.133943267349153,0.133943267349153
"9",133,0.119303157567273,0.119303157567273
"10",134,0.00276917417820638,0.00276917417820638
"11",136,-0.0212348076509304,0.0212348076509304
"12",144,0.0990579904756983,0.0990579904756983
"13",145,0.814538943219504,0.814538943219504
"14",146,0.0474870456933725,0.0474870456933725
"15",151,-0.0385953136278765,0.0385953136278765
"16",153,-0.480619606439178,0.480619606439178
"17",157,-0.0671632512959669,0.0671632512959669
"18",162,-0.155826558265583,0.155826558265583
"19",166,0.0759381160962492,0.0759381160962492
"20",171,0.151804951804952,0.151804951804952
"21",176,-0.0475284393158196,0.0475284393158196
"22",180,-0.441638770035693,0.441638770035693
"23",182,0.269126321506612,0.269126321506612
"24",184,0.0613855995644481,0.0613855995644481
"25",185,-0.40502677369396,0.40502677369396
"26",187,-0.235258330213403,0.235258330213403
"27",189,-0.241106340106028,0.241106340106028
"28",190,0.0776119402985075,0.0776119402985075
